Unnamed: 0,Title,Link,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
91,91,Suzumiya Haruhi no Yuuutsu,849/Suzumiya-Haruhi-no-Yuuutsu,2006,Spring,TV,14,23 mins,Finished,134074,76%,2586,Kyoto Animation,Light Novel,"Comedy,Mystery,Sci-Fi,Slice of Life,Supernatural",79331,42862,4628,4280
92,92,Higurashi no Naku Koro ni,934/Higurashi-no-Naku-Koro-ni,2006,Spring,TV,26,24 mins,Finished,119409,75%,3434,Studio DEEN,Visual Novel,"Horror,Mystery,Psychological,Supernatural,Thriller",60751,41246,6105,6096
93,93,NANA,877/NANA,2006,Spring,TV,47,23 mins,Finished,109853,85%,7977,MADHOUSE,Manga,"Comedy,Drama,Music,Romance,Slice of Life",53610,38023,10165,5356
94,94,xxxHOLiC,861/xxxHOLiC,2006,Spring,TV,24,24 mins,Finished,43445,76%,866,Production I.G,Manga,"Comedy,Drama,Horror,Mystery,Psychological,Supernatural",22568,15542,1932,1866
95,95,Air Gear,857/Air-Gear,2006,Spring,TV,25,24 mins,Finished,38765,70%,701,Toei Animation,Manga,"Action,Comedy,Ecchi,Sports",22166,12183,1881,1284
96,96,Utawarerumono,856/Utawarerumono,2006,Spring,TV,26,23 mins,Finished,23614,73%,277,OLM,Visual Novel,"Action,Drama,Fantasy,Sci-Fi",10974,9898,1090,845
97,97,Strawberry Panic,855/Strawberry-Panic,2006,Spring,TV,26,25 mins,Finished,20243,67%,274,MADHOUSE,Other,"Drama,Romance",9595,7760,1150,912
98,98,School Rumble Ni Gakki,846/School-Rumble-Ni-Gakki,2006,Spring,TV,26,24 mins,Finished,17568,77%,199,Studio Comet,Manga,"Comedy,Romance,Slice of Life",12302,4064,467,432
99,99,ARIA The NATURAL,962/ARIA-The-NATURAL,2006,Spring,TV,26,24 mins,Finished,16822,81%,299,Hal Film Maker,Manga,"Fantasy,Sci-Fi,Slice of Life",7720,7238,909,712
100,100,Witchblade,935/Witchblade,2006,Spring,TV,24,24 mins,Finished,13703,67%,116,GONZO,Comic,"Action,Sci-Fi",6234,5662,686,580
101,101,Digimon Savers,859/Digimon-Savers,2006,Spring,TV,48,23 mins,Finished,12495,66%,196,Toei Animation,Original,"Action,Adventure,Comedy,Drama,Fantasy,Sci-Fi",9707,1419,667,373
102,102,Tsubasa Chronicle 2nd Season,969/Tsubasa-Chronicle-2nd-Season,2006,Spring,TV,26,25 mins,Finished,11795,71%,110,NaN,Manga,"Adventure,Drama,Fantasy,Mystery,Romance",7526,3435,302,272
103,103,Saiunkoku Monogatari,957/Saiunkoku-Monogatari,2006,Spring,TV,39,25 mins,Finished,10606,74%,157,MADHOUSE,Light Novel,"Adventure,Comedy,Drama,Fantasy,Romance",5676,3382,550,545
104,104,.hack//Roots,873/hackRoots,2006,Spring,TV,26,24 mins,Finished,8554,64%,56,Bee Train,Original,"Adventure,Drama,Fantasy,Sci-Fi",4867,2701,428,291
105,105,Juu Ou Sei,953/Juu-Ou-Sei,2006,Spring,TV,11,22 mins,Finished,8330,66%,60,bones,Manga,"Action,Adventure,Drama,Mystery,Sci-Fi",3913,3810,255,178
106,106,KIBA,845/KIBA,2006,Spring,TV,51,24 mins,Finished,8214,67%,96,MADHOUSE,Original,"Adventure,Fantasy",3476,3391,559,419
107,107,Inukami!,940/Inukami,2006,Spring,TV,26,23 mins,Finished,7838,67%,31,Seven Arcs,Light Novel,"Comedy,Ecchi,Romance,Supernatural",3506,3317,418,322
108,108,Simoun,879/Simoun,2006,Spring,TV,26,23 mins,Finished,7741,70%,78,Studio DEEN,Manga,"Drama,Fantasy,Romance",4914,1918,343,306
109,109,Oban Star-Racers,1212/Oban-StarRacers,2006,Spring,TV,26,25 mins,Finished,7307,72%,121,NaN,Original,"Adventure,Mecha,Sci-Fi",3797,2884,222,209
110,110,Aa! Megami-sama!: Sorezore no Tsubasa,880/Aa-Megamisama-Sorezore-no-Tsubasa,2006,Spring,TV,22,24 mins,Finished,7130,72%,50,AIC,Manga,"Comedy,Romance,Supernatural",4843,1790,186,184
111,111,Princess Princess,907/Princess-Princess,2006,Spring,,,,,,,,,,,,,,
112,112,Gakuen Heaven,850/Gakuen-Heaven,2006,Spring,TV,13,26 mins,Finished,6992,59%,60,Tokyo Kids,Visual Novel,"Comedy,Drama,Romance",3730,2275,457,273
113,113,Shinigami no Ballad.,789/Shinigami-no-Ballad,2006,Spring,TV,6,25 mins,Finished,6355,65%,26,Group TAC,Light Novel,"Drama,Fantasy,Psychological,Supernatural",2940,2857,214,191
114,114,Zegapain,878/Zegapain,2006,Spring,TV,26,23 mins,Finished,6255,70%,74,Sunrise,Original,"Action,Mecha,Romance,Sci-Fi",3694,1828,273,242
115,115,Renkin San-kyuu Magical? Pokaan,941/Renkin-Sankyuu-Magical-Pokaan,2006,Spring,TV,12,24 mins,Finished,6069,66%,48,Remic,Original,"Comedy,Ecchi",3243,2048,283,256
116,116,Kamisama Kazoku,990/Kamisama-Kazoku,2006,Spring,TV,13,25 mins,Finished,5972,67%,35,Toei Animation,Light Novel,"Comedy,Drama,Fantasy,Romance",3072,2311,260,170
117,117,Makai Senki Disgaea,860/Makai-Senki-Disgaea,2006,Spring,TV,12,24 mins,Finished,5574,62%,25,OLM,Video Game,"Action,Comedy,Fantasy",2924,1929,322,209
118,118,Joshikousei,863/Joshikousei,2006,Spring,TV,12,24 mins,Finished,5401,60%,20,Arms,Manga,"Comedy,Drama,Ecchi",2629,2116,298,193
119,119,Tokkou,916/Tokkou,2006,Spring,TV,13,24 mins,Finished,4857,58%,25,NaN,Manga,"Action,Comedy,Horror,Mystery,Supernatural",2303,2104,217,133
120,120,Kirarin☆Revolution,1516/KirarinRevolution,2006,Spring,TV,153,22 mins,Finished,4395,66%,76,SynergySP,Manga,"Comedy,Drama,Music,Romance",2266,1181,437,259
