,Title,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
33,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,2006,Winter,TV,26.0,23.0,Finished,19933.0,77.0,395.0,MADHOUSE,Manga,Psychological,8912.0,8799.0,883.0,766.0
33,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,2006,Winter,TV,26.0,23.0,Finished,19933.0,77.0,395.0,MADHOUSE,Manga,Sports,8912.0,8799.0,883.0,766.0
33,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,2006,Winter,TV,26.0,23.0,Finished,19933.0,77.0,395.0,MADHOUSE,Manga,Thriller,8912.0,8799.0,883.0,766.0
34,Karin,2006,Winter,TV,24.0,23.0,Finished,18748.0,67.0,193.0,J.C. Staff,Manga,Comedy,11594.0,5122.0,870.0,621.0
34,Karin,2006,Winter,TV,24.0,23.0,Finished,18748.0,67.0,193.0,J.C. Staff,Manga,Romance,11594.0,5122.0,870.0,621.0
34,Karin,2006,Winter,TV,24.0,23.0,Finished,18748.0,67.0,193.0,J.C. Staff,Manga,Supernatural,11594.0,5122.0,870.0,621.0
35,Noein: Mou Hitori no Kimi e,2006,Winter,TV,24.0,25.0,Finished,16194.0,71.0,159.0,Satelight,Original,Adventure,10347.0,4180.0,620.0,567.0
35,Noein: Mou Hitori no Kimi e,2006,Winter,TV,24.0,25.0,Finished,16194.0,71.0,159.0,Satelight,Original,Drama,10347.0,4180.0,620.0,567.0
35,Noein: Mou Hitori no Kimi e,2006,Winter,TV,24.0,25.0,Finished,16194.0,71.0,159.0,Satelight,Original,Psychological,10347.0,4180.0,620.0,567.0
35,Noein: Mou Hitori no Kimi e,2006,Winter,TV,24.0,25.0,Finished,16194.0,71.0,159.0,Satelight,Original,Sci-Fi,10347.0,4180.0,620.0,567.0
35,Noein: Mou Hitori no Kimi e,2006,Winter,TV,24.0,25.0,Finished,16194.0,71.0,159.0,Satelight,Original,Slice of Life,10347.0,4180.0,620.0,567.0
36,Mai-Otome,2006,Winter,TV,26.0,24.0,Finished,5868.0,68.0,57.0,Sunrise,Original,Comedy,3257.0,2084.0,206.0,164.0
36,Mai-Otome,2006,Winter,TV,26.0,24.0,Finished,5868.0,68.0,57.0,Sunrise,Original,Drama,3257.0,2084.0,206.0,164.0
36,Mai-Otome,2006,Winter,TV,26.0,24.0,Finished,5868.0,68.0,57.0,Sunrise,Original,Fantasy,3257.0,2084.0,206.0,164.0
37,capeta,2006,Winter,TV,52.0,23.0,Finished,4362.0,75.0,82.0,Studio Comet,Manga,Drama,1949.0,1918.0,180.0,164.0
37,capeta,2006,Winter,TV,52.0,23.0,Finished,4362.0,75.0,82.0,Studio Comet,Manga,Sports,1949.0,1918.0,180.0,164.0
38,Solty Rei,2006,Winter,TV,24.0,23.0,Finished,4097.0,68.0,36.0,,Original,Action,1902.0,1666.0,205.0,173.0
38,Solty Rei,2006,Winter,TV,24.0,23.0,Finished,4097.0,68.0,36.0,,Original,Sci-Fi,1902.0,1666.0,205.0,173.0
39,Idaten Jump,2006,Winter,TV,52.0,20.0,Finished,3305.0,69.0,100.0,,Manga,Adventure,2408.0,607.0,127.0,107.0
39,Idaten Jump,2006,Winter,TV,52.0,20.0,Finished,3305.0,69.0,100.0,,Manga,Mystery,2408.0,607.0,127.0,107.0
39,Idaten Jump,2006,Winter,TV,52.0,20.0,Finished,3305.0,69.0,100.0,,Manga,Sports,2408.0,607.0,127.0,107.0
39,Idaten Jump,2006,Winter,TV,52.0,20.0,Finished,3305.0,69.0,100.0,,Manga,Supernatural,2408.0,607.0,127.0,107.0
40,Canvas 2: Niji-iro no Sketch,2006,Winter,TV,24.0,24.0,Finished,3248.0,62.0,9.0,,Visual Novel,Comedy,1560.0,1281.0,170.0,133.0
40,Canvas 2: Niji-iro no Sketch,2006,Winter,TV,24.0,24.0,Finished,3248.0,62.0,9.0,,Visual Novel,Drama,1560.0,1281.0,170.0,133.0
40,Canvas 2: Niji-iro no Sketch,2006,Winter,TV,24.0,24.0,Finished,3248.0,62.0,9.0,,Visual Novel,Romance,1560.0,1281.0,170.0,133.0
40,Canvas 2: Niji-iro no Sketch,2006,Winter,TV,24.0,24.0,Finished,3248.0,62.0,9.0,,Visual Novel,Slice of Life,1560.0,1281.0,170.0,133.0
41,Angel Heart,2006,Winter,TV,50.0,23.0,Finished,2673.0,66.0,25.0,,Manga,Action,1554.0,713.0,153.0,128.0
41,Angel Heart,2006,Winter,TV,50.0,23.0,Finished,2673.0,66.0,25.0,,Manga,Romance,1554.0,713.0,153.0,128.0
42,Sonic X Season 2,2006,Winter,TV,26.0,25.0,Finished,1922.0,67.0,40.0,TMS Entertainment,Video Game,Action,1505.0,315.0,56.0,25.0
42,Sonic X Season 2,2006,Winter,TV,26.0,25.0,Finished,1922.0,67.0,40.0,TMS Entertainment,Video Game,Adventure,1505.0,315.0,56.0,25.0
42,Sonic X Season 2,2006,Winter,TV,26.0,25.0,Finished,1922.0,67.0,40.0,TMS Entertainment,Video Game,Comedy,1505.0,315.0,56.0,25.0
42,Sonic X Season 2,2006,Winter,TV,26.0,25.0,Finished,1922.0,67.0,40.0,TMS Entertainment,Video Game,Fantasy,1505.0,315.0,56.0,25.0
42,Sonic X Season 2,2006,Winter,TV,26.0,25.0,Finished,1922.0,67.0,40.0,TMS Entertainment,Video Game,Mecha,1505.0,315.0,56.0,25.0
42,Sonic X Season 2,2006,Winter,TV,26.0,25.0,Finished,1922.0,67.0,40.0,TMS Entertainment,Video Game,Sci-Fi,1505.0,315.0,56.0,25.0
43,Ginga Densetsu Weed,2006,Winter,TV,26.0,24.0,Finished,1922.0,67.0,43.0,,Manga,Adventure,995.0,702.0,92.0,70.0
43,Ginga Densetsu Weed,2006,Winter,TV,26.0,24.0,Finished,1922.0,67.0,43.0,,Manga,Drama,995.0,702.0,92.0,70.0
44,Rockman.EXE BEAST,2006,Winter,TV,25.0,25.0,Finished,1463.0,66.0,11.0,,Video Game,Action,878.0,422.0,67.0,51.0
44,Rockman.EXE BEAST,2006,Winter,TV,25.0,25.0,Finished,1463.0,66.0,11.0,,Video Game,Adventure,878.0,422.0,67.0,51.0
44,Rockman.EXE BEAST,2006,Winter,TV,25.0,25.0,Finished,1463.0,66.0,11.0,,Video Game,Mecha,878.0,422.0,67.0,51.0
44,Rockman.EXE BEAST,2006,Winter,TV,25.0,25.0,Finished,1463.0,66.0,11.0,,Video Game,Sci-Fi,878.0,422.0,67.0,51.0
45,CLUSTER EDGE,2006,Winter,TV,25.0,24.0,Finished,1335.0,55.0,3.0,Sunrise,Original,Action,738.0,384.0,106.0,55.0
45,CLUSTER EDGE,2006,Winter,TV,25.0,24.0,Finished,1335.0,55.0,3.0,Sunrise,Original,Fantasy,738.0,384.0,106.0,55.0
45,CLUSTER EDGE,2006,Winter,TV,25.0,24.0,Finished,1335.0,55.0,3.0,Sunrise,Original,Sci-Fi,738.0,384.0,106.0,55.0
46,Gaiking: Legend of Daiku-Maryu,2006,Winter,TV,39.0,25.0,Finished,1137.0,67.0,10.0,,,Action,611.0,347.0,65.0,58.0
46,Gaiking: Legend of Daiku-Maryu,2006,Winter,TV,39.0,25.0,Finished,1137.0,67.0,10.0,,,Mecha,611.0,347.0,65.0,58.0
46,Gaiking: Legend of Daiku-Maryu,2006,Winter,TV,39.0,25.0,Finished,1137.0,67.0,10.0,,,Sci-Fi,611.0,347.0,65.0,58.0
47,Fighting Beauty Wulong,2006,Winter,TV,25.0,25.0,Finished,886.0,53.0,6.0,TMS Entertainment,Manga,Action,501.0,228.0,60.0,49.0
47,Fighting Beauty Wulong,2006,Winter,TV,25.0,25.0,Finished,886.0,53.0,6.0,TMS Entertainment,Manga,Ecchi,501.0,228.0,60.0,49.0
48,Bouken Ou Beet Excellion,2006,Winter,TV,25.0,24.0,Finished,882.0,61.0,3.0,,Manga,Adventure,511.0,270.0,38.0,35.0
48,Bouken Ou Beet Excellion,2006,Winter,TV,25.0,24.0,Finished,882.0,61.0,3.0,,Manga,Fantasy,511.0,270.0,38.0,35.0
48,Bouken Ou Beet Excellion,2006,Winter,TV,25.0,24.0,Finished,882.0,61.0,3.0,,Manga,Supernatural,511.0,270.0,38.0,35.0
49,Gunparade Orchestra,2006,Winter,TV,24.0,25.0,Finished,883.0,52.0,1.0,Brain's Base,Video Game,Drama,484.0,256.0,58.0,51.0
49,Gunparade Orchestra,2006,Winter,TV,24.0,25.0,Finished,883.0,52.0,1.0,Brain's Base,Video Game,Mecha,484.0,256.0,58.0,51.0
49,Gunparade Orchestra,2006,Winter,TV,24.0,25.0,Finished,883.0,52.0,1.0,Brain's Base,Video Game,Romance,484.0,256.0,58.0,51.0
49,Gunparade Orchestra,2006,Winter,TV,24.0,25.0,Finished,883.0,52.0,1.0,Brain's Base,Video Game,Sci-Fi,484.0,256.0,58.0,51.0
49,Gunparade Orchestra,2006,Winter,TV,24.0,25.0,Finished,883.0,52.0,1.0,Brain's Base,Video Game,Slice of Life,484.0,256.0,58.0,51.0
50,D.I.C.E.,2006,Winter,TV,40.0,25.0,Finished,629.0,56.0,3.0,Xebec,,Action,365.0,170.0,56.0,21.0
50,D.I.C.E.,2006,Winter,TV,40.0,25.0,Finished,629.0,56.0,3.0,Xebec,,Adventure,365.0,170.0,56.0,21.0
50,D.I.C.E.,2006,Winter,TV,40.0,25.0,Finished,629.0,56.0,3.0,Xebec,,Mecha,365.0,170.0,56.0,21.0
50,D.I.C.E.,2006,Winter,TV,40.0,25.0,Finished,629.0,56.0,3.0,Xebec,,Sci-Fi,365.0,170.0,56.0,21.0
51,Animal Yokochou,2006,Winter,TV,51.0,23.0,Finished,621.0,66.0,3.0,Studio Gallop,Manga,Adventure,257.0,166.0,73.0,72.0
51,Animal Yokochou,2006,Winter,TV,51.0,23.0,Finished,621.0,66.0,3.0,Studio Gallop,Manga,Comedy,257.0,166.0,73.0,72.0
51,Animal Yokochou,2006,Winter,TV,51.0,23.0,Finished,621.0,66.0,3.0,Studio Gallop,Manga,Fantasy,257.0,166.0,73.0,72.0
52,Kotencotenco,2006,Winter,TV,52.0,25.0,Finished,152.0,53.0,721.9090501121915,,,Adventure,54.0,48.0,27.0,18.0
52,Kotencotenco,2006,Winter,TV,52.0,25.0,Finished,152.0,53.0,721.9090501121915,,,Comedy,54.0,48.0,27.0,18.0
52,Kotencotenco,2006,Winter,TV,52.0,25.0,Finished,152.0,53.0,721.9090501121915,,,Fantasy,54.0,48.0,27.0,18.0
53,Giniro no Kami no Agito,2006,Winter,Movie,1.0,,Finished,10620.0,65.0,76.0,GONZO,Original,Adventure,5745.0,4523.0,189.0,87.0
53,Giniro no Kami no Agito,2006,Winter,Movie,1.0,,Finished,10620.0,65.0,76.0,GONZO,Original,Drama,5745.0,4523.0,189.0,87.0
53,Giniro no Kami no Agito,2006,Winter,Movie,1.0,,Finished,10620.0,65.0,76.0,GONZO,Original,Fantasy,5745.0,4523.0,189.0,87.0
53,Giniro no Kami no Agito,2006,Winter,Movie,1.0,,Finished,10620.0,65.0,76.0,GONZO,Original,Romance,5745.0,4523.0,189.0,87.0
